Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2569,0.00,0.02,1.00,-0.00,-0.02,-0.05
2577,-0.00,0.02,1.00,0.00,-0.01,-0.06
2585,-0.00,0.02,1.00,0.01,-0.01,-0.06
2592,-0.01,0.01,1.00,0.01,-0.01,-0.06
2601,-0.01,0.01,0.99,0.01,0.01,-0.06
2609,-0.06,0.01,0.99,0.01,0.01,-0.06
2617,-0.00,0.03,1.00,0.00,0.01,-0.07
2624,-0.03,0.01,1.00,0.00,0.01,-0.08
2632,-0.10,0.02,0.99,0.00,-0.02,-0.08
2641,0.00,0.03,1.00,0.00,-0.02,-0.09
2648,-0.01,0.02,1.00,0.00,-0.01,-0.09
2656,-0.01,0.02,0.99,0.00,0.01,-0.08
2664,-0.00,0.02,1.00,-0.00,0.03,-0.06
2672,0.00,0.00,1.00,0.00,0.03,-0.06
2679,-0.01,-0.01,1.01,0.00,0.02,-0.09
2688,-0.01,-0.01,1.01,0.00,0.01,-0.11
2696,-0.01,-0.02,1.01,0.01,0.00,-0.12
2703,-0.02,-0.02,1.00,0.00,0.01,-0.14
2711,-0.02,-0.00,1.00,-0.00,0.01,-0.14
2719,-0.02,0.01,1.00,-0.00,0.02,-0.12
2727,-0.01,0.03,1.00,-0.01,0.02,-0.09
2735,0.00,0.04,1.01,-0.01,0.01,-0.06
2743,-0.00,0.04,1.00,-0.01,0.02,-0.01
2751,-0.00,0.03,1.00,-0.00,0.01,0.02
2758,0.01,0.01,1.00,-0.00,0.02,0.04
2767,0.01,-0.03,1.00,-0.00,0.02,0.02
2775,-0.01,-0.04,1.00,-0.00,0.01,-0.00
2782,-0.00,-0.07,1.00,-0.00,0.02,-0.04
2790,0.00,-0.05,1.00,-0.01,0.02,-0.07
2798,-0.02,-0.03,1.00,-0.01,0.02,-0.06
2805,-0.00,-0.00,1.00,-0.00,0.03,-0.05
2814,-0.00,-0.01,1.00,0.00,0.02,-0.07
2822,0.00,0.01,1.00,-0.00,0.01,-0.04
2830,0.02,0.04,1.00,-0.00,-0.00,-0.00
2837,0.03,0.03,1.00,-0.00,-0.02,0.01
2845,0.03,0.03,1.01,-0.00,-0.02,0.02
2854,0.03,0.00,1.01,-0.00,-0.04,-0.01
2861,0.04,-0.02,1.00,-0.00,-0.05,-0.05
2869,0.02,-0.03,1.00,-0.00,-0.04,-0.08
2877,-0.00,-0.02,1.00,-0.00,-0.04,-0.11
